REG,DATE,FROM,TO,FLIGHT,DURATION,SDT,ADT,ETA,STATUS
PS-CNA,07 Feb 2022,Belem (BEL),Breves (BVS),AD5962,—,16:15,16:10,17:15,Estimated departure 16:10
PS-CNA,07 Feb 2022,Belem (BEL),Tucurui (TUR),AD5325,—,16:15,—,17:45,Canceled
PS-CNA,07 Feb 2022,Belem (BEL),Almeirim (MEU),AD5580,3:14,10:20,13:46,12:05,Landed 17:00
PS-CNA,07 Feb 2022,Belem (BEL),Almeirim (MEU),AD5580,1:26,10:14,10:14,11:40,Landed 11:40
PS-CNA,07 Feb 2022,Breves (BVS),Belem (BEL),AD5863,0:53,8:35,17:46,9:40,Landed 18:39
PS-CNA,07 Feb 2022,Belem (BEL),Breves (BVS),AD5862,—,7:00,7:07,8:00,Diverted to BEL
PS-CNA,06 Feb 2022,Tucurui (TUR),Belem (BEL),AD5330,1:08,14:50,14:46,16:15,Landed 15:54
PS-CNA,06 Feb 2022,Belem (BEL),Tucurui (TUR),AD5328,1:10,12:51,12:51,14:00,Landed 14:00
PS-CNA,06 Feb 2022,Belem (BEL),Tucurui (TUR),AD5329,—,12:45,12:51,14:15,Estimated departure 12:51
PS-CNA,06 Feb 2022,Paragominas (JPE),Belem (BEL),AD5328,0:50,11:55,10:55,12:00,Landed 11:45
PS-CNA,06 Feb 2022,Belem (BEL),Tucurui (TUR),AD5328,—,9:15,9:15,—,Unknown
PS-CNA,05 Feb 2022,Tucurui (TUR),Belem (BEL),AD5330,—,14:50,14:49,16:15,Estimated departure 14:49
PS-CNA,05 Feb 2022,Tucurui (TUR),Belem (BEL),AD5328,1:14,14:48,14:48,16:02,Landed 16:02
PS-CNA,05 Feb 2022,Belem (BEL),Tucurui (TUR),AD5329,—,12:45,12:41,14:15,Estimated departure 12:41
PS-CNA,05 Feb 2022,Belem (BEL),Tucurui (TUR),AD5328,1:12,12:41,12:41,13:53,Landed 13:53
PS-CNA,05 Feb 2022,Paragominas (JPE),Belem (BEL),AD5328,0:51,11:55,10:57,12:00,Landed 11:48
PS-CNA,05 Feb 2022,Belem (BEL),Paragominas (JPE),AD5327,0:52,9:15,9:19,11:25,Landed 10:11
PS-CNA,04 Feb 2022,Belem (BEL),Tucurui (TUR),AD5325,—,16:15,—,17:45,Canceled
PS-CNA,04 Feb 2022,Belem (BEL),Belem (BEL),AD5580,1:40,13:13,13:13,14:53,Landed 14:53
PS-CNA,04 Feb 2022,Belem (BEL),Almeirim (MEU),AD5580,1:22,10:20,10:14,12:05,Landed 11:36
